CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
112-38-9,Undecylenic acid,10-Undecenoic acid,Yellow [Triangle],,Chemical added to the list,42520.0
27138-31-4,Dipropylene glycol dibenzoate,"Propanol, oxybis-, dibenzoate",Green [Circle],,Chemical added to the list,42520.0
8016-49-7,Cuburbita pepo seed oil,,Green [Circle],,Chemical added to the list,42520.0
91078-92-1,Orbignya oleifera seed oil,,Green [Circle],,Chemical added to the list,42520.0
226993-76-6,Potassium babassuate,,Green [Circle],,Chemical added to the list,42520.0
54074-94-1,Isopropyl 3-hydroxybutyrate,"Butanoic acid, 3-hydroxy-, 1-methylethyl ester",Green [Circle],,Chemical added to the list,42520.0
928663-45-0,"Dodecanoic acid, methyl-2-sulfoethyl ester, sodium salt (1:1)","Dodecanoic acid, methyl-2-sulfoethyl ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42520.0
334-48-5,Decanoic Acid,Decanoic acid,Green [Circle],,Chemical added to new functional class (Processing Aids and Additives),42520.0
111-82-0,Methyl laurate,"Dodecanoic acid, methyl ester",Green [Circle],,"Chemical moved from Surfactants to new functional classes (Solvents, Emollients, and Skin Conditioning Agents)",42520.0
17378-36-8,Potassium heptadecanoate,"Heptadecanoic acid, potassium salt",Half Green [Circle],,Chemical moved from Uncategorized to new functional class (Surfactants),42520.0
106-21-8,Dihydrocitronellol,"1-Octanol, 3,7-dimethyl-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Geometric color code changed from Half-Green [Circle] to Yellow [Triangle],42520.0
68917-73-7,"Oils, wheat","Oils, wheat",Green [Circle],,Chemical moved from Uncategorized to new functional classes (Emollients and Skin Conditioning Agents),42520.0
8008-74-0,"Fats and Glyceridic oils, sesame","Fats and Glyceridic oils, sesame",Green [Circle],,Chemical moved from Uncategorized to new functional classes (Emollients and Skin Conditioning Agents),42520.0
8001-21-6,Sunflower oil,Sunflower oil,Green [Circle],,Chemical moved from Uncategorized to new functional classes (Emollients and Skin Conditioning Agents),42520.0
8002-31-1,Cocoa butter,Cocoa butter,Green [Circle],,Chemical moved from Uncategorized to new functional classes (Emollients and Skin Conditioning Agents),42520.0
8024-32-6,"Fats and Glyceridic oils, avocado","Fats and Glyceridic oils, avocado",Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
68553-81-1,"Fats and Glyceridic oils, rice bran","Fats and Glyceridic oils, rice bran",Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
8001-23-8,Safflower oil,Safflower oil,Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
106457-91-4,"Oils, oat","Oils, oat",Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
8001-26-1,Linseed oil,Linseed oil,Half Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
8001-29-4,Cottonseed oil,Cottonseed oil,Green [Circle],,Chemical moved from Uncategorized to new functional class (Skin Conditioning Agents),42520.0
8023-79-8,"Oils, palm kernel","Oils, palm kernel",Green [Circle],,Chemical moved from Uncategorized to new functional class (Emollients),42520.0
126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",,*Flagged on 12/09/2014 for removal from SCIL in 12 months.,Chemical removed from list,42520.0
7681-57-4,"Disulfurous acid, disodium salt","Disulfurous acid, sodium salt (1:2)",Yellow [Triangle],,Geometric color code changed from Green [Circle] to Yellow [Triangle],42439.0
7681-57-4,"Disulfurous acid, disodium salt","Disulfurous acid, sodium salt (1:2)",Yellow [Triangle],,Functional use changed from Processing Aids and Additives to Preservatives and Antioxidants,42439.0
64-18-6,Formic acid,Formic acid,Green [Circle],,Chemical added to new functional class (Preservatives and Antioxidants),42396.0
112-72-1,1-Tetradecanol,1-Tetradecanol,Half-Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half-Green [Circle]. Chemical caveat removed.  ,42396.0
112-30-1,1-Decanol,1-Decanol,Half-Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half-Green [Circle]. Chemical caveat removed.  ,42396.0
143-08-8,1-Nonanol,1-Nonanol,Half-Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half-Green [Circle]. Chemical caveat removed.  ,42396.0
111-87-5,1-Octanol,1-Octanol,Half-Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half-Green [Circle]. Chemical caveat removed.  ,42396.0
13019-22-2,9-Decen-1-ol,9-Decen-1-ol,Yellow [Triangle],,"Chemical caveat updated to ""*Lacks sufficient sensitization data;  See above.""",42396.0
7681-38-1,Sodium bisulfate,"Sulfuric acid, sodium salt (1:1)",Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),42396.0
161074-93-7,"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides","D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",Green [Circle],,Geometric color code changed from Grey [Square] to Green [Circle]. Chemical caveat removed.  ,42396.0
5343-92-0,Pentylene glycol,"1,2-Pentanediol",Green [Circle],,Chemical added to the list,42396.0
584-03-2,"1,2-Butanediol","1,2-Butanediol",Green [Circle],,Chemical added to the list,42396.0
6920-22-5,"1,2-Hexanediol","1,2-Hexanediol",Green [Circle],,Chemical added to the list,42396.0
29911-27-1,Dipropylene glycol propyl ether,"2-Propanol, 1-(1-methyl-2-propoxyethoxy)-",Yellow [Triangle],,Chemical added to the list,42396.0
67762-41-8,"Alcohols, C10-16","Alcohols, C10-16",Green [Circle],,Chemical added to the list,42396.0
7492-55-9,Calcium sorbate,"2,4-Hexadienoic acid, calcium salt (2:1), (2E,4E)-",Green [Circle],,Chemical added to the list,42396.0
59-02-9,alpha-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",Green [Circle],,Chemical added to the list,42396.0
68037-05-8,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C6-10-alkyl ethers, ammonium salts","Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C6-10-alkyl ethers, ammonium salts",Green [Circle],,Chemical added to the list,42396.0
29923-31-7,Sodium lauroyl glutamate,"L-Glutamic acid, N-(1-oxododecyl)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42396.0
8002-43-5,Lecithins,Lecithins,Green [Circle],,Chemical added to the list,42396.0
9005-67-8,"Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs.",Green [Circle],,Chemical added to the list,42396.0
501019-91-6,"Poly(oxy-1,2-ethanediyl), alpha-hydro-omega-hydroxy-, mono-C8-10-alkyl ethers, ethers with 1,2-dodecanediol (1:1)","Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C8-10-alkyl ethers, ethers with 1,2-dodecanediol (1:1)",Green [Circle],,Chemical added to the list,42396.0
68937-66-6,"Alcohols, C6-12, ethoxylated and propoxylated","Alcohols, C6-12, ethoxylated propoxylated",Green [Circle],,Chemical added to the list,42396.0
1066-33-7,Ammonium bicarbonate,"Carbonic acid, ammonium salt (1:1)",Yellow [Triangle],,Chemical added to the list,42396.0
506-87-6,Ammonium carbonate,"Carbonic acid, ammonium salt (1:2)",Yellow [Triangle],,Chemical added to the list,42396.0
1336-21-6,Ammonium hydroxide,Ammonium hydroxide ((NH4)(OH)),Yellow [Triangle],,Chemical added to the list,42396.0
1305-62-0,Calcium hydroxide,Calcium hydroxide (Ca(OH)2),Green [Circle],,Chemical added to the list,42396.0
7697-37-2,Nitric acid (aqueous),Nitric acid,Yellow [Triangle],,Chemical added to the list,42396.0
128446-33-3,Hydroxypropyl-a-cyclodextrin,".alpha.-Cyclodextrin, 2-hydroxypropyl ethers",Green [Circle],,Chemical added to the list,42396.0
7585-39-9,Cyclodextrin,.beta.-Cyclodextrin,Green [Circle],,Chemical added to the list,42396.0
8001-29-4,Cottonseed oil,Cottonseed oil,Green [Circle],,Chemical added to the list,42396.0
8002-31-1,Cocoa butter,Cocoa butter,Green [Circle],,Chemical added to the list,42396.0
7320-34-5,Tetrapotassium pyrophosphate,"Diphosphoric acid, potassium salt (1:4)",Yellow [Triangle],,Chemical added to the list,42396.0
9002-89-5,Polyvinyl alcohol,"Ethenol, homopolymer",Green [Circle],,Chemical added to the list,42396.0
111-14-8,Heptanoic acid,Heptanoic acid,Green [Half Circle],,Chemical added to the list,42268.0
112-05-0,Nonanoic acid,Nonanoic acid,Green [Half Circle],,Chemical added to the list,42268.0
142-62-1,Hexanoic acid,Hexanoic acid,Green [Circle],,Chemical added to the list,42268.0
334-48-5,Decanoic acid,Decanoic acid,Green [Circle],,Chemical added to the list,42268.0
463-40-1,Linolenic acid,"9,12,15-Octadecatrienoic acid, (9Z,12Z,15Z)-",Green [Circle],,Chemical added to the list,42268.0
8001-26-1,Linseed oil,Linseed oil,Green [Half Circle],,Chemical added to the list,42268.0
8001-21-6,Sunflower oil,Sunflower oil,Green [Circle],,Chemical added to the list,42268.0
1002-62-6,Sodium decanoate,"Decanoic acid, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
822-12-8,Sodium myristate,"Tetradecanoic acid, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
822-17-3,Sodium linoleate,"9,12-Octadecadienoic acid (9Z,12Z)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
112-85-6,Docosanoic acid,Docosanoic acid,Green [Circle],,Chemical added to the list,42268.0
544-64-9,Myristoleic acid,"9-Tetradecenoic acid, (9Z)-",Green [Circle],,Chemical added to the list,42268.0
557-59-5,Lignoceric acid,Tetracosanoic acid,Green [Circle],,Chemical added to the list,42268.0
593-29-3,Potassium palmitoleate,"Octadecanoic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
2624-31-9,Potassium palmitate,"Hexadecanoic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
408-35-5,Sodium palmitate,"Hexadecanoic acid, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
506-30-9,Eicosanoic acid,Eicosanoic acid,Green [Circle],,Chemical added to the list,42268.0
506-31-0,9-Eicosenoic acid,9-Eicosenoic acid,Green [Circle],,Chemical added to the list,42268.0
8001-23-8,Safflower oil,Safflower oil,Green [Circle],,Chemical added to the list,42268.0
8008-74-0,"Fats and Glyceridic oils, sesame","Fats and Glyceridic oils, sesame",Green [Circle],,Chemical added to the list,42268.0
8023-79-8,"Oils, palm kernel","Oils, palm kernel",Green [Circle],,Chemical added to the list,42268.0
8024-32-6,"Fats and Glyceridic oils, avocado","Fats and Glyceridic oils, avocado",Green [Circle],,Chemical added to the list,42268.0
1984-06-1,Sodium octanoate,"Octanoic acid, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
10124-65-9,Potassium dodecanoate,"Dodecanoic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
13429-27-1,Potassium myristate,"Tetradecanoic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
17378-36-8,Potassium heptadecanoate,"Heptadecanoic acid, potassium salt (1:1)",Green [Half Circle],,Chemical added to the list,42268.0
61790-45-2,"Fatty acids, tall oil, sodium salt","Fatty acids, tall-oil, sodium salts",Green [Circle],,Chemical added to the list,42268.0
61790-79-2,"Fatty acids, palm-oil, sodium salts","Fatty acids, palm-oil, sodium salts",Green [Circle],,Chemical added to the list,42268.0
61789-88-6,"Fatty acids, olive-oil, sodium salts","Fatty acids, olive-oil, sodium salts",Green [Circle],,Chemical added to the list,42268.0
68002-90-4,"Fatty acids, C10-16","Fatty acids, C10-16",Green [Circle],,Chemical added to the list,42268.0
67701-06-8,"Fatty acids, C14-18 and C16-18-unsatd.","Fatty acids, C14-18 and C16-18-unsatd.",Green [Circle],,Chemical added to the list,42268.0
68440-19-7,"Fatty acids, safflower-oil, sodium salts","Fatty acids, safflower-oil, sodium salts",Green [Circle],,Chemical added to the list,42268.0
68553-81-1,"Fats and Glyceridic oils, rice bran","Fats and Glyceridic oils, rice bran",Green [Circle],,Chemical added to the list,42268.0
68917-73-7,"Oils, wheat","Oils, wheat",Green [Circle],,Chemical added to the list,42268.0
68955-98-6,"Fatty acids, C16 - C18 and C18 unsaturated, branched and linear","Fatty acids, C16-18 and C18-unsatd., branched and linear",Green [Circle],,Chemical added to the list,42268.0
69669-39-2,"Sunflower oil, potassium salt","Sunflower oil, potassium salt",Green [Circle],,Chemical added to the list,42268.0
106457-91-4,"Oils, oat","Oils, oat",Green [Circle],,Chemical added to the list,42268.0
1328-53-6,C.I. Pigment Green 7,C.I. Pigment Green 7,Green [Circle],,Chemical added to the list,42268.0
13007-85-7,"D-glycero-D-gulo-Heptonic acid, monosodium salt","D-glycero-D-gulo-Heptonic acid, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42268.0
17140-60-2,"D-glycero-D-gulo-Heptonic acid, calcium salt (2:1)","D-glycero-D-gulo-Heptonic acid, calcium salt (2:1)",Green [Circle],,Chemical added to the list,42268.0
78330-21-9,"Alcohols, C11-14-iso-, C13-rich, ethoxylated","Alcohols, C11-14-iso-, C13-rich, ethoxylated",Green [Circle],,Chemical added to the list,42268.0
70210-05-8,C. I. Acid Violet 54,"2,7-Naphthalenedisulfonic acid, 3-[[2,4-bis(2- methylphenoxy)phenyl]azo] -4-hydroxy-5-[[(4- methylphenyl)sulfonyl]amino]-, disodium salt",Half Green [Circle],,Chemical added to the list,42268.0
1443994-56-6,Sorbitan oleate decylglucoside crosspolymer,"D-Glucopyranose, oligomeric, decyl octyl glycosides, polymers with epichlorohydrin and sorbitan monooleate",Green [Circle],,Chemical added to the list,42268.0
510758-10-8,"D-Glucopyranose, oligomeric, Bu glycosides","D-Glucopyranose, oligomeric, Bu glycosides",Green [Circle],,Chemical added to the list,42268.0
39202-17-0,"9-Dodecenoic acid, methyl ester","9-Dodecenoic acid, methyl ester",Yellow [Triangle],"*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",Added chemical use caveat,42268.0
68919-53-9,"Fatty acids, soya, Me esters","Fatty acids, soya, Me esters",Yellow [Triangle],"*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",Added chemical use caveat,42268.0
112-42-5,1-Undecanol,1-Undecanol,Green [Half Circle],,List name for solvent entry updated to 1-Undecanol,42268.0
22042-96-2,"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt","Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-, sodium salt (1:?)",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,"List name updated to Diethylenetriaminepenta(methylenephosphonic acid), sodium salt",42268.0
9079-33-8,"FD&C Blue No.1, PEG Derivative","Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.'',.alpha.'''-[[(2-sulfophenyl)methyliumylidene]bis(4,1-phenylenenitrilodi-2,1-ethanediyl)]tetrakis[.omega.-hydroxy-, chloride, sodium salt (1:1:1)",Green [Half Circle],,"List name updated to FD&C Blue No.1, PEG Derivative",42268.0
112926-00-8,Hydrated silica,"Silica gel, pptd., cryst.-free",,,Chemical removed from SCIL. Acceptable for use in products but is covered by the SCIL listing of 63231-67-4. ,42268.0
63231-67-4,Silica gel,Silica gel,Green [Circle],"*For TSCA purposes, this CASRN/chemical name is used to represent 112926-00-8 (hydrated silica).",Added chemical use and TSCA Inventory use caveats,42268.0
64366-70-7,"Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether","Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether",Yellow [Triangle],,List Call changed from Grey [Square] to Yellow [Triangle],42268.0
39202-17-0,"9-Dodecenoic acid, methyl ester","9-Dodecenoic acid, methyl ester",Yellow [Triangle],,Chemical added to the list,42236.0
6424-85-7,C.I. Acid Blue 40,"2-Anthracenesulfonic acid, 4-[[4-(acetylamino)phenyl]amino]-1-amino-9,10- dihydro-9,10-dioxo-, monosodium salt",Yellow [Triangle],,Chemical added to the list,42236.0
25035-82-9,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate",Green [Circle],,Chemical added to the list,42236.0
7758-29-4,Sodium tripolyphosphate,"Triphosphoric acid, sodium salt (1:5)",Yellow [Triangle],*Only allowed as an oxidant stabilizer,Chemical added to the list,42236.0
8012-89-3,Beeswax,Beeswax,Green [Circle],,Chemical added to the list,42236.0
68919-53-9,"Fatty acids, soya, Me esters","Fatty acids, soya, Me esters",Yellow [Triangle],,Chemical added to the list,42236.0
79-21-0,Peracetic acid,Ethaneperoxoic acid,Green [Circle],,Chemical added to the list,42236.0
109-60-4,Propyl acetate,"Acetic acid, propyl ester",Green [Circle],,Chemical added to the list,42236.0
110-27-0,Isopropyl myristate,"Tetradecanoic acid, 1-methylethyl ester",Half Green [Circle],,Chemical added to the list,42236.0
7758-16-9,Sodium acid pyrophosphate,"Diphosphoric acid, sodium salt (1:2)",Yellow [Triangle],*Only allowed as an oxidant stabilizer,Chemical added to the list,42236.0
9005-71-4,"Sorbitan, trioctadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, trioctadecanoate, poly(oxy-1,2-ethanediyl) derivs.",Half Green [Circle],,Chemical added to the list,42236.0
10294-56-1,Phosphorous acid,Phosphorous acid,Yellow [Triangle],*Only allowed as an oxidant stabilizer,Chemical added to the list,42236.0
12027-70-2,Disodium tin hexahydroxide,"Stannate (Sn(OH)62-), sodium (1:2), (OC-6-11)-",Yellow [Triangle],*Only allowed as an oxidant stabilizer,Chemical added to the list,42236.0
26402-26-6,"Octanoic acid, monoester with 1,2,3-propanetriol","Octanoic acid, monoester with 1,2,3-propanetriol",Half Green [Circle],,Chemical added to the list,42236.0
66455-17-2,"Alcohols, C9-11","Alcohols, C9-11",Half Green [Circle],,Chemical added to the list,42236.0
68955-20-4,"Sulfuric acid, mono-C16-18-alkyl esters, sodium salts","Sulfuric acid, mono-C16-18-alkyl esters, sodium salts",Green [Circle],,Chemical added to the list,42236.0
71832-81-0,"Benzenesulfonic acid, hydroxy-, sodium salt (1:1), polymer with formaldehyde and 4,4'-sulfonylbis[phenol]","Benzenesulfonic acid, hydroxy-, sodium salt (1:1), polymer with formaldehyde and 4,4'-sulfonylbis[phenol]",Green [Circle],,Chemical added to the list,42236.0
85536-14-7,"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.","Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",Green [Circle],,Chemical added to the list,42236.0
123-94-4,Glyceryl monostearate,"Octadecanoic acid, 2,3-dihydroxypropyl ester",Green [Circle],,Chemical added to the list,42236.0
9034-32-6,Hemicellulose,Hemicellulose,Green [Circle],,Chemical added to the list,42236.0
16090-02-1,FWA-1,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-(4-morpholinyl)-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, sodium salt (1:2)",Green [Circle],,Chemical added to the list,42236.0
207308-34-7,"Urea, methanesulfonate (1:1)","Urea, methanesulfonate (1:1)",Green [Circle],,Chemical added to the list,42236.0
6132-04-3,"Sodium citrate, dihydrate","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt, hydrate (1:3:2)",Green [Circle],,Chemical added to new functional class (Preservatives and Antioxidants),42236.0
68-04-2,"Sodium citrate, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",Green [Circle],,Chemical added to new functional class (Preservatives and Antioxidants),42236.0
67762-38-3,"Fatty acids, C16-18 and C18-unsatd., methyl esters","Fatty acids, C16-18 and C18-unsatd., Me esters",Yellow [Triangle],,Chemical added to new functional class (Specialized Industrial Chemicals),42236.0
67784-80-9,"Soybean oil, methyl esters","Soybean oil, Me ester",Yellow [Triangle],,Chemical added to new functional class (Specialized Industrial Chemicals),42236.0
112-42-5,1-Undecanol,1-Undecanol,Half Green [Circle],,Chemical added to new functional class (Solvents),42236.0
112-42-5,1-Undecanol,1-Undecanol,Half Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half Green [Circle],42236.0
112-53-8,1-Dodecanol,1-Dodecanol,Half Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half Green [Circle],42236.0
31138-65-5,Monosodium D-glucoheptonate,"D-gluco-heptonic acid, sodium salt (1:1), (2.xi.)-",Green [Circle],,Geometric color code changed from Half Green [Circle] to Green [Circle],42236.0
577-11-7,Bis(2-ethylhexyl) sodium sulfosuccinate,"Butanedioic acid, 2-sulfo-, 1,4-bis(2-ethylhexyl) ester, sodium salt (1:1)",,,Chemical removed from list,42121.0
100-51-6,Benzyl alcohol,Benzenemethanol,,,Chemical removed from list,42121.0
160875-66-1,"Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-",Grey [Square],*Flagged on 12/9/2014 for removal from SCIL in 12 months.,Added caveat regarding removal from SCIL,42121.0
161074-93-7,"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides","D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",Grey [Square],*Flagged on 12/9/2014 for removal from SCIL in 12 months.,Added caveat regarding removal from SCIL,42121.0
166736-08-9,"Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether",Grey [Square],*Flagged on 12/9/2014 for removal from SCIL in 12 months.,Added caveat regarding removal from SCIL,42121.0
64366-70-7,"Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-ethylhexyl) ether",Grey [Square],*Flagged on 12/9/2014 for removal from SCIL in 12 months.,Added caveat regarding removal from SCIL,42121.0
126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",Grey [Square],*Flagged on 12/9/2014 for removal from SCIL in 12 months.,Added caveat regarding removal from SCIL,42121.0
160875-66-1,"Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-",Grey [Square],,Geometric color code changed from Green [Circle] to Grey [Square],41982.0
161074-93-7,"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides","D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",Grey [Square],,Geometric color code changed from Green [Circle] to Grey [Square],41982.0
166736-08-9,"Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether",Grey [Square],,Geometric color code changed from Green [Circle] to Grey [Square],41982.0
64366-70-7,"Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-ethylhexyl) ether",Grey [Square],,Geometric color code changed from Green [Circle] to Grey [Square],41982.0
126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",Grey [Square],,Geometric color code changed from Green [Circle] to Grey [Square],41982.0
7664-93-9,Sulfuric acid (aqueous),Sulfuric acid,Yellow [Triangle],,Chemical added to the list,41982.0
77-92-9,"Citric acid, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-",Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),41982.0
79-33-4,L-Lactic acid,"Propanoic acid, 2-hydroxy-, (2S)-",Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),41982.0
7722-84-1,Hydrogen peroxide,Hydrogen peroxide (H2O2),Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),41982.0
64-17-5,Ethanol,Ethanol,Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),41982.0
67-63-0,Isopropanol,2-Propanol,Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),41982.0
65405-40-5,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with hexadecyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate and tetradecyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with hexadecyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate and tetradecyl 2-methyl-2-propenoate",Green [Circle],,Chemical added to the list,41982.0
70851-07-9,"Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts","Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts",Green [Circle],,Chemical added to the list,41982.0
94441-92-6,"beta-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)","beta-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,41982.0
5405-41-4,"Butanoic acid, 3-hydroxy-, ethyl ester","Butanoic acid, 3-hydroxy-, ethyl ester",Green [Circle],,Chemical added to the list,41982.0
13040-18-1,"Decanoic acid, potassium salt (1:1)","Decanoic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,41982.0
64-18-6,Formic acid,Formic acid,Green [Circle],,Chemical added to the list,41982.0
68411-97-2,"Glycine, N-methyl-, N-coco acyl derivs.","Glycine, N-methyl-, N-coco acyl derivs.",Green [Circle],,Chemical added to the list,41982.0
67762-19-0,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, ammonium salts","Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, ammonium salts",Green [Circle],,Chemical added to the list,41982.0
142-87-0,"Sulfuric acid, monodecyl ester, sodium salt (1:1)","Sulfuric acid, monodecyl ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,41982.0
10543-57-4,Tetraacetyl ethylene diamine,"Acetamide, N,N'-1,2-ethanediylbis[N-acetyl-",Yellow [Triangle],,Geometric color code changed from Green [Circle] to Yellow [Triangle],41982.0
112-60-7,Tetraethylene glycol,"Ethanol, 2,2'-[oxybis(2,1-ethanediyloxy)]bis-",Half Green [Circle],,Chemical added to the list,41982.0
53605-94-0,Butyl-3-hydroxybutanoate,"Butanoic acid, 3-hydroxy-, butyl ester",Green [Circle],,Chemical added to the list,41719.0
65405-72-3,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate","1-Naphthalenol, 1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-, 1-formate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above",Chemical added to the list,41614.0
4674-50-4,"2(3H)-Naphthalenone, 4,4a,5,6,7,8-hexahydro-4,4a-dimethyl-6-(1-methylethenyl)-, (4R,4aS,6R)-","2(3H)-Naphthalenone, 4,4a,5,6,7,8-hexahydro-4,4a-dimethyl-6-(1-methylethenyl)-, (4R,4aS,6R)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
5471-51-2,"2-Butanone, 4-(4-hydroxyphenyl)-","2-Butanone, 4-(4-hydroxyphenyl)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
